"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.967753750E0,-1.149609375E-1,-1.282532959E0,9.820328522E0,9.904390899E0
2.977676750E0,-1.173559570E-1,-1.300794983E0,9.819430389E0,9.905910013E0
2.987599750E0,-1.213975525E-1,-1.309027863E0,9.809550934E0,9.897251176E0
2.997522750E0,-1.275347900E-1,-1.308728485E0,9.813442841E0,9.901146184E0
3.007445750E0,-1.348695374E-1,-1.290765839E0,9.818232880E0,9.903633834E0
3.017369750E0,-1.327738953E-1,-1.266815643E0,9.812694397E0,9.895020066E0
3.027292750E0,-1.261875916E-1,-1.235530701E0,9.811047821E0,9.889343698E0
3.037215750E0,-1.336720276E-1,-1.207538910E0,9.815089417E0,9.889994878E0
3.047138750E0,-1.329235840E-1,-1.212778015E0,9.807904358E0,9.883495692E0
3.057061750E0,-1.543290710E-1,-1.221010895E0,9.812993774E0,9.889870165E0
3.066984750E0,-1.719923401E-1,-1.228195953E0,9.811796265E0,9.889863124E0
3.076908750E0,-1.823208618E-1,-1.242117004E0,9.809251556E0,9.889262442E0
3.086831750E0,-1.752854919E-1,-1.249601440E0,9.806706848E0,9.887554196E0
3.096754750E0,-1.812730408E-1,-1.259331207E0,9.813592529E0,9.895725003E0
3.106677750E0,-1.761836243E-1,-1.237925720E0,9.811197510E0,9.890555967E0
3.116600750E0,-1.725910950E-1,-1.215771790E0,9.815239105E0,9.891754517E0
3.126523750E0,-1.778302002E-1,-1.206341400E0,9.809700623E0,9.885196480E0
3.136447750E0,-1.709445190E-1,-1.189725952E0,9.814790039E0,9.888112731E0
