"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.320657333E0,-4.422852631E0,1.017883301E-1,9.961484985E0,1.089968666E1
2.330580333E0,-4.253704376E0,8.232879639E-3,1.015787659E1,1.101256217E1
2.340502333E0,-4.300407257E0,6.975494385E-2,1.035816010E1,1.121560738E1
2.350425333E0,-4.243675232E0,6.945556641E-2,9.963580627E0,1.082989116E1
2.360348333E0,-4.335434418E0,1.922003174E-1,1.018077896E1,1.106712216E1
2.370271333E0,-4.256548462E0,-3.996688843E-2,1.032013916E1,1.116356012E1
2.380194333E0,-4.432432709E0,3.411405945E-1,9.890981598E0,1.084409303E1
2.390117333E0,-4.117487640E0,1.781295776E-2,1.028436356E1,1.107800323E1
2.400040333E0,-4.345912628E0,2.490820312E-1,1.026205994E1,1.114714639E1
2.409963333E0,-4.216880951E0,1.625619507E-1,9.962682495E0,1.081959120E1
2.419886333E0,-4.205504608E0,5.403762817E-2,1.016850449E1,1.100398439E1
2.429809333E0,-4.316723328E0,5.144801331E-1,9.997410278E0,1.090169722E1
2.439732333E0,-4.137994995E0,1.197509766E-1,9.945468292E0,1.077263582E1
2.449655333E0,-4.137994995E0,2.550695801E-1,1.025487488E1,1.106121701E1
2.459578333E0,-4.147275696E0,2.284249878E-1,9.918973389E0,1.075351602E1
2.469501333E0,-4.197571106E0,3.975732422E-1,9.848919067E0,1.071349030E1
2.479424333E0,-3.944746857E0,3.221301270E-1,1.018062927E1,1.092291206E1
2.489347333E0,-4.169130249E0,3.345542908E-1,9.875863037E0,1.072502887E1
2.499270333E0,-4.076772308E0,4.302053833E-1,9.972112885E0,1.078184513E1
2.509193333E0,-4.053271179E0,3.444337463E-1,1.007075775E1,1.086129843E1
2.519116333E0,-3.983366547E0,2.718347168E-1,9.886640625E0,1.066239964E1
2.529039333E0,-4.068689117E0,5.959107971E-1,9.990374908E0,1.080356106E1
2.538962333E0,-4.044439545E0,2.918930054E-1,1.000459534E1,1.079512022E1
2.548885333E0,-3.918850708E0,5.263055420E-1,9.828711090E0,1.059424136E1
2.558808333E0,-4.101620636E0,4.266128540E-1,1.000399658E1,1.082059324E1
2.568731333E0,-3.850442963E0,4.201762390E-1,1.000878662E1,1.073211390E1
2.578654333E0,-4.087699585E0,4.999603271E-1,9.754764862E0,1.058842225E1
2.588577333E0,-3.823498993E0,6.388714600E-1,1.016236725E1,1.087662675E1
2.598500333E0,-4.054917755E0,3.918850708E-1,9.868228912E0,1.067604205E1
2.608423333E0,-3.717369690E0,9.304650879E-1,9.770781555E0,1.049536921E1
2.618346333E0,-3.718118134E0,3.758683777E-1,1.014440460E1,1.081085678E1
2.628269333E0,-3.879781952E0,9.990225220E-1,9.745633850E0,1.053698881E1
2.638192333E0,-3.894900513E0,7.972421265E-1,9.487121429E0,1.028646285E1
2.648114333E0,-3.311264191E0,8.530760193E-1,9.258546753E0,9.869797222E0
2.658037333E0,-2.151026917E0,2.555785217E0,8.304131470E0,8.950840985E0
2.667960333E0,-1.391057281E0,2.783312073E0,7.550748138E0,8.166741327E0
2.677883333E0,-1.608854370E0,2.490071869E0,8.032296753E0,8.561930940E0
2.687806333E0,-2.878963165E0,1.012344818E0,9.423803101E0,9.905621425E0
2.697729333E0,-3.844006348E0,-3.876937866E-2,9.801617432E0,1.052851329E1
2.707652333E0,-3.333118744E0,8.637039185E-1,9.940977631E0,1.052039454E1
2.717575333E0,-3.593726807E0,2.610571289E-1,1.025652145E1,1.087102826E1
2.727498333E0,-3.466940460E0,7.580236816E-1,1.017928207E1,1.078016974E1
2.737421333E0,-3.722309418E0,-3.652404785E-2,1.008872040E1,1.075356688E1
2.747344333E0,-3.550915833E0,5.715115356E-1,1.025098297E1,1.086362189E1
2.757267333E0,-3.709585876E0,3.676354980E-1,1.013677048E1,1.080047679E1
2.767190333E0,-3.659889221E0,1.457968140E-1,1.014545242E1,1.078639192E1
2.777113333E0,-3.616928558E0,4.448748779E-1,1.015323624E1,1.078741359E1
2.787036333E0,-3.656147003E0,1.868115234E-1,1.014605118E1,1.078631837E1
2.796959333E0,-3.675606537E0,3.601510620E-1,1.019455032E1,1.084290775E1
2.806882333E0,-3.645519104E0,4.340972900E-3,1.013677048E1,1.077236947E1
2.816805333E0,-3.712579651E0,4.387376404E-1,1.012240036E1,1.079067780E1
2.826728333E0,-3.539988556E0,2.333647156E-1,1.017583923E1,1.077653387E1
2.836651333E0,-3.856430511E0,9.580078125E-3,9.871821442E0,1.059834924E1
2.846574333E0,-3.576362915E0,2.899470520E-1,1.012808853E1,1.074488801E1
2.856497333E0,-3.531605988E0,1.839674377E-1,1.014470398E1,1.074342142E1
2.866420333E0,-3.759432220E0,-2.058219910E-1,9.820328522E0,1.051734499E1
2.876343333E0,-3.459605713E0,2.580633545E-1,9.952204285E0,1.053953692E1
2.886266333E0,-3.747008057E0,-4.161346436E-2,9.831704865E0,1.052160737E1
2.896189333E0,-3.402723999E0,-4.460723877E-2,9.882748718E0,1.045223625E1
2.906112333E0,-3.665577393E0,-1.481918335E-2,9.880952454E0,1.053897047E1
2.916035333E0,-3.733835449E0,4.161346436E-2,9.674082642E0,1.036972197E1
2.925957333E0,-3.565735016E0,-7.050338745E-2,9.684710541E0,1.032051623E1
2.935880333E0,-3.637884979E0,-1.016386414E-1,9.773625641E0,1.042920398E1
2.945803333E0,-3.295097809E0,1.793270874E-1,9.914183350E0,1.044896451E1
2.955726333E0,-3.755390625E0,-2.412982178E-1,9.676926727E0,1.038287506E1
2.965649333E0,-3.760779419E0,-1.113684082E-1,9.428443451E0,1.015142407E1
2.975572333E0,-3.661535797E0,8.143066406E-2,9.738748169E0,1.040464758E1
2.985495333E0,-3.515888672E0,5.733078003E-2,9.807754669E0,1.041906002E1
2.995418333E0,-3.744762726E0,-1.047821045E-3,9.507628784E0,1.021852504E1
3.005341333E0,-3.897894287E0,-1.986369324E-1,9.743538208E0,1.049616946E1
3.015264333E0,-3.445385284E0,5.923182678E-1,9.794132996E0,1.039935391E1
3.025187333E0,-4.144730988E0,-4.496649170E-1,9.430838470E0,1.031124181E1
3.035110333E0,-3.655847626E0,3.251239014E-1,9.776020660E0,1.044229416E1
3.045033333E0,-3.723057861E0,2.233355713E-1,9.882449341E0,1.056285206E1
